# Energy CrossSection
3.200000000000000067e-01 5.119939139062499311e-01
3.210000000000000075e-01 5.089822012850467869e-01
3.220000000000000084e-01 5.060053402236024400e-01
3.230000000000000093e-01 5.030629485464397366e-01
3.240000000000000102e-01 5.001546493888888723e-01
3.250000000000000111e-01 4.972783217784615406e-01
3.260000000000000120e-01 4.944336222837423245e-01
3.270000000000000129e-01 4.916219461529051649e-01
3.280000000000000138e-01 4.888412100548779615e-01
3.290000000000000147e-01 4.860910845000000480e-01
3.300000000000000155e-01 4.833712444378787110e-01
3.310000000000000164e-01 4.806813691903322749e-01
3.320000000000000173e-01 4.780194454352409417e-01
3.330000000000000182e-01 4.753885621621620761e-01
3.340000000000000191e-01 4.727850246122754507e-01
3.350000000000000200e-01 4.702085502328358091e-01
3.360000000000000209e-01 4.676605285952380453e-01
3.370000000000000218e-01 4.651390020712166673e-01
3.380000000000000226e-01 4.626453537292899987e-01
3.390000000000000235e-01 4.601759996474925618e-01
3.400000000000000244e-01 4.577339776999999610e-01
3.410000000000000253e-01 4.553173724354838137e-01
3.420000000000000262e-01 4.529242988435672190e-01
3.430000000000000271e-01 4.505561434416908706e-01
3.439999999999999725e-01 4.482126551177326168e-01
3.449999999999999734e-01 4.458935859840579274e-01
3.459999999999999742e-01 4.435970900346821177e-01
3.469999999999999751e-01 4.413229449221903189e-01
3.479999999999999760e-01 4.390741081163794246e-01
3.489999999999999769e-01 4.368455782750716443e-01
3.499999999999999778e-01 4.346403122414286280e-01
3.509999999999999787e-01 4.324565102920227555e-01
3.519999999999999796e-01 4.302939638409090661e-01
3.529999999999999805e-01 4.281524668781869214e-01
3.539999999999999813e-01 4.260318159336157762e-01
3.549999999999999822e-01 4.239318100408450696e-01
3.559999999999999831e-01 4.218522507022472445e-01
3.569999999999999840e-01 4.197914083039215316e-01
3.579999999999999849e-01 4.177521621508379912e-01
3.589999999999999858e-01 4.157312596225627432e-01
3.599999999999999867e-01 4.137300451680555602e-01
3.609999999999999876e-01 4.117468216412742410e-01
3.619999999999999885e-01 4.097829262375691228e-01
3.629999999999999893e-01 4.078381765344352705e-01
3.639999999999999902e-01 4.059094054958791165e-01
3.649999999999999911e-01 4.040009319945206401e-01
3.659999999999999920e-01 4.021081163333333208e-01
3.669999999999999929e-01 4.002337711839237255e-01
3.679999999999999938e-01 3.983762530652173450e-01
3.689999999999999947e-01 3.965354081639566597e-01
3.699999999999999956e-01 3.947110844594594603e-01
3.709999999999999964e-01 3.929031316994608392e-01
3.719999999999999973e-01 3.911128514637097764e-01
3.729999999999999982e-01 3.893371915549598272e-01
3.739999999999999991e-01 3.875774622473261988e-01
3.750000000000000000e-01 3.858335201279999294e-01
3.760000000000000009e-01 3.841052234374999208e-01
3.770000000000000018e-01 3.823910077572945099e-01
3.780000000000000027e-01 3.806935881957672074e-01
3.790000000000000036e-01 3.790099842163587862e-01
3.800000000000000044e-01 3.773414846368421949e-01
3.810000000000000053e-01 3.756865512139107022e-01
3.820000000000000062e-01 3.740464656753927919e-01
3.830000000000000071e-01 3.724197024804177247e-01
3.840000000000000080e-01 3.708075363333333541e-01
3.850000000000000089e-01 3.692098390909091532e-01
3.860000000000000098e-01 3.676237237772020938e-01
3.870000000000000107e-01 3.660532197532298526e-01
3.880000000000000115e-01 3.644940767474226795e-01
3.890000000000000124e-01 3.629489322892031078e-01
3.900000000000000133e-01 3.614163036012819630e-01
3.910000000000000142e-01 3.598974412800511891e-01
3.920000000000000151e-01 3.583895221033163159e-01
3.930000000000000160e-01 3.568951512480916244e-01
3.940000000000000169e-01 3.554128692182741411e-01
3.950000000000000178e-01 3.539425744253164030e-01
3.960000000000000187e-01 3.524841663750000187e-01
3.970000000000000195e-01 3.510375456536524164e-01
3.980000000000000204e-01 3.496026139145729239e-01
3.990000000000000213e-01 3.481805949486216356e-01
4.000000000000000222e-01 3.467687460049999615e-01
