#E_tot          E_tot-Eth     Phase(s) scatt. length
  4.21000000   4.21000000 -58.44110000   5.10959724
  4.23500000   4.23500000 -58.52470000   5.11120103
  4.26000000   4.26000000 -58.60770000   5.11279895
  4.28500000   4.28500000 -58.69000000   5.11436954
  4.31000000   4.31000000 -58.77180000   5.11595161
  4.33500000   4.33500000 -58.85290000   5.11750355
  4.36000000   4.36000000 -58.93350000   5.11906437
  4.38500000   4.38500000 -59.01350000   5.12061259
  4.41000000   4.41000000 -59.09290000   5.12214690
  4.43500000   4.43500000 -59.17180000   5.12368633
  4.46000000   4.46000000 -59.25010000   5.12520932
  4.48500000   4.48500000 -59.32780000   5.12671462
  4.51000000   4.51000000 -59.40500000   5.12822137
  4.53500000   4.53500000 -59.48160000   5.12970797
  4.56000000   4.56000000 -59.55770000   5.13119366
  4.58500000   4.58500000 -59.63330000   5.13267731
  4.61000000   4.61000000 -59.70830000   5.13413725
  4.63500000   4.63500000 -59.78290000   5.13561345
  4.66000000   4.66000000 -59.85690000   5.13706365
  4.68500000   4.68500000 -59.93040000   5.13850732
  4.71000000   4.71000000 -60.00340000   5.13994338
  4.73500000   4.73500000 -60.07590000   5.14137076
  4.76000000   4.76000000 -60.14790000   5.14278839
  4.78500000   4.78500000 -60.21940000   5.14419520
  4.81000000   4.81000000 -60.29050000   5.14561103
  4.83500000   4.83500000 -60.36100000   5.14699313
  4.86000000   4.86000000 -60.43110000   5.14838224
  4.88500000   4.88500000 -60.50080000   5.14977743
  4.91000000   4.91000000 -60.56990000   5.15113579
  4.93500000   4.93500000 -60.63860000   5.15249828
  4.96000000   4.96000000 -60.70690000   5.15386401
  4.98500000   4.98500000 -60.77470000   5.15521097
