#E_tot          E_tot-Eth     Phase(s) scatt. length
  0.01000000   0.01000000  -4.33390000   4.88016247
  0.03500000   0.03500000  -8.08020000   4.88659864
  1.58500000   1.58500000 -45.97330000   5.29165865
  1.61000000   1.61000000 -46.23370000   5.29839163
  1.63500000   1.63500000 -46.49060000   5.30514272
  1.66000000   1.66000000 -46.74400000   5.31189554
  1.68500000   1.68500000 -46.99400000   5.31865284
  1.71000000   1.71000000 -47.24070000   5.32541795
  1.73500000   1.73500000 -47.48420000   5.33219482
  1.76000000   1.76000000 -47.72450000   5.33896919
  1.78500000   1.78500000 -47.96180000   5.34576476
  1.81000000   1.81000000 -48.19610000   5.35256829
  1.83500000   1.83500000 -48.42750000   5.35938572
  1.86000000   1.86000000 -48.65600000   5.36620462
  1.88500000   1.88500000 -48.88170000   5.37303179
  1.91000000   1.91000000 -49.10470000   5.37987448
  1.93500000   1.93500000 -49.32500000   5.38672141
  1.96000000   1.96000000 -49.54270000   5.39358061
  1.98500000   1.98500000 -49.75790000   5.40046052
  2.01000000   2.01000000 -49.97050000   5.40733173
  2.03500000   2.03500000 -50.18070000   5.41422246
  2.06000000   2.06000000 -50.38850000   5.42112301
  2.08500000   2.08500000 -50.59390000   5.42802389
  2.11000000   2.11000000 -50.79710000   5.43495454
  2.13500000   2.13500000 -50.99800000   5.44188672
  2.16000000   2.16000000 -51.19670000   5.44883111
  2.18500000   2.18500000 -51.39320000   5.45577923
  2.21000000   2.21000000 -51.58760000   5.46274234
  2.23500000   2.23500000 -51.77990000   5.46971244
  2.26000000   2.26000000 -51.97020000   5.47670134
  2.28500000   2.28500000 -52.15850000   5.48370149
  2.31000000   2.31000000 -52.34480000   5.49070543
  2.33500000   2.33500000 -52.52920000   5.49772572
  2.36000000   2.36000000 -52.71170000   5.50475533
  2.38500000   2.38500000 -52.89230000   5.51178734
  2.41000000   2.41000000 -53.07110000   5.51883497
  2.43500000   2.43500000 -53.24820000   5.52591182
  2.46000000   2.46000000 -53.42350000   5.53299144
  2.48500000   2.48500000 -53.59700000   5.54006748
  2.51000000   2.51000000 -53.76890000   5.54717429
  2.53500000   2.53500000 -53.93910000   5.55428570
  2.56000000   2.56000000 -54.10770000   5.56141622
  2.58500000   2.58500000 -54.27470000   5.56856020
  2.61000000   2.61000000 -54.44010000   5.57571207
  2.63500000   2.63500000 -54.60390000   5.58286632
  2.66000000   2.66000000 -54.76620000   5.59003821
  2.68500000   2.68500000 -54.92700000   5.59722257
  2.71000000   2.71000000 -55.08640000   5.60443510
  2.73500000   2.73500000 -55.24430000   5.61165005
  2.76000000   2.76000000 -55.40080000   5.61888339
  2.78500000   2.78500000 -55.55590000   5.62613037
  2.81000000   2.81000000 -55.70960000   5.63338629
  2.83500000   2.83500000 -55.86190000   5.64064650
  2.86000000   2.86000000 -56.01290000   5.64792767
  2.88500000   2.88500000 -56.16260000   5.65522544
  2.91000000   2.91000000 -56.31100000   5.66253552
  2.93500000   2.93500000 -56.45820000   5.66987512
  2.96000000   2.96000000 -56.60400000   5.67719713
  2.98500000   2.98500000 -56.74870000   5.68456202
  3.01000000   3.01000000 -56.89210000   5.69192268
  3.03500000   3.03500000 -57.03440000   5.69931857
  3.06000000   3.06000000 -57.17550000   5.70672416
  3.08500000   3.08500000 -57.31540000   5.71413564
  3.11000000   3.11000000 -57.45410000   5.72154920
  3.13500000   3.13500000 -57.59180000   5.72900525
  3.16000000   3.16000000 -57.72830000   5.73645615
  3.18500000   3.18500000 -57.86380000   5.74394270
  3.21000000   3.21000000 -57.99810000   5.75141699
  3.23500000   3.23500000 -58.13140000   5.75892016
  3.26000000   3.26000000 -58.26370000   5.76644904
  3.28500000   3.28500000 -58.39500000   5.77400047
  3.31000000   3.31000000 -58.52520000   5.78154864
  3.33500000   3.33500000 -58.65440000   5.78911294
  3.36000000   3.36000000 -58.78260000   5.79669028
  3.38500000   3.38500000 -58.90990000   5.80430046
  3.41000000   3.41000000 -59.03620000   5.81191770
  3.43500000   3.43500000 -59.16160000   5.81956201
  3.46000000   3.46000000 -59.28600000   5.82720746
  3.48500000   3.48500000 -59.40950000   5.83487428
  3.51000000   3.51000000 -59.53210000   5.84255970
  3.53500000   3.53500000 -59.65390000   5.85028442
  3.56000000   3.56000000 -59.77470000   5.85799896
  3.58500000   3.58500000 -59.89470000   5.86574754
  3.61000000   3.61000000 -60.01380000   5.87350403
  3.63500000   3.63500000 -60.13200000   5.88126575
  3.66000000   3.66000000 -60.24940000   5.88905388
  3.68500000   3.68500000 -60.36600000   5.89686601
  3.71000000   3.71000000 -60.48180000   5.90469975
  3.73500000   3.73500000 -60.59680000   5.91255272
  3.76000000   3.76000000 -60.71100000   5.92042254
  3.78500000   3.78500000 -60.82440000   5.92830686
  3.81000000   3.81000000 -60.93700000   5.93620330
  3.83500000   3.83500000 -61.04890000   5.94413403
  3.86000000   3.86000000 -61.16000000   5.95207237
  3.88500000   3.88500000 -61.27040000   5.96004067
  3.91000000   3.91000000 -61.38000000   5.96801212
  3.93500000   3.93500000 -61.48900000   5.97603411
  3.96000000   3.96000000 -61.59720000   5.98405496
  3.98500000   3.98500000 -61.70460000   5.99207237
  4.01000000   4.01000000 -61.81140000   6.00013432
  4.03500000   4.03500000 -61.91750000   6.00821382
  4.06000000   4.06000000 -62.02300000   6.01633420
  4.08500000   4.08500000 -62.12770000   6.02444285
  4.11000000   4.11000000 -62.23180000   6.03258855
  4.13500000   4.13500000 -62.33520000   6.04074395
  4.16000000   4.16000000 -62.43800000   6.04893278
  4.18500000   4.18500000 -62.54020000   6.05715333
  4.21000000   4.21000000 -62.64170000   6.06537797
  4.23500000   4.23500000 -62.74260000   6.07363073
  4.26000000   4.26000000 -62.84280000   6.08188378
  4.28500000   4.28500000 -62.94250000   6.09018760
  4.31000000   4.31000000 -63.04150000   6.09848813
  4.33500000   4.33500000 -63.14000000   6.10683625
  4.36000000   4.36000000 -63.23780000   6.11517749
  4.38500000   4.38500000 -63.33510000   6.12356316
  4.41000000   4.41000000 -63.43180000   6.13196513
  4.43500000   4.43500000 -63.52800000   6.14040858
  4.46000000   4.46000000 -63.62350000   6.14883820
  4.48500000   4.48500000 -63.71850000   6.15730615
  4.51000000   4.51000000 -63.81300000   6.16581104
  4.53500000   4.53500000 -63.90690000   6.17432425
  4.56000000   4.56000000 -64.00030000   6.18287147
  4.58500000   4.58500000 -64.09320000   6.19145133
  4.61000000   4.61000000 -64.18550000   6.20003489
  4.63500000   4.63500000 -64.27730000   6.20864816
  4.66000000   4.66000000 -64.36860000   6.21728979
  4.68500000   4.68500000 -64.45930000   6.22593048
  4.71000000   4.71000000 -64.54960000   6.23462463
  4.73500000   4.73500000 -64.63940000   6.24334305
  4.76000000   4.76000000 -64.72870000   6.25208439
  4.78500000   4.78500000 -64.81750000   6.26084728
  4.81000000   4.81000000 -64.90580000   6.26963036
  4.83500000   4.83500000 -64.99360000   6.27843227
  4.86000000   4.86000000 -65.08100000   6.28728036
  4.88500000   4.88500000 -65.16790000   6.29614478
  4.91000000   4.91000000 -65.25430000   6.30502415
  4.93500000   4.93500000 -65.34030000   6.31394617
  4.96000000   4.96000000 -65.42580000   6.32288064
  4.98500000   4.98500000 -65.51090000   6.33185548
