#E_tot          E_tot-Eth     Phase(s) scatt. length
  4.43500000   4.43500000 -61.99790000   5.75028099
  4.46000000   4.46000000 -62.08150000   5.75438066
  4.48500000   4.48500000 -62.16450000   5.75846790
  4.51000000   4.51000000 -62.24690000   5.76254113
  4.53500000   4.53500000 -62.32880000   5.76662326
  4.56000000   4.56000000 -62.41000000   5.77066384
  4.58500000   4.58500000 -62.49080000   5.77473494
  4.61000000   4.61000000 -62.57090000   5.77876140
  4.63500000   4.63500000 -62.65050000   5.78279095
  4.66000000   4.66000000 -62.72960000   5.78682224
  4.68500000   4.68500000 -62.80810000   5.79082910
  4.71000000   4.71000000 -62.88610000   5.79483491
  4.73500000   4.73500000 -62.96360000   5.79883838
  4.76000000   4.76000000 -63.04060000   5.80283817
  4.78500000   4.78500000 -63.11700000   5.80680787
  4.81000000   4.81000000 -63.19290000   5.81077115
  4.83500000   4.83500000 -63.26840000   5.81475200
  4.86000000   4.86000000 -63.34330000   5.81869865
  4.88500000   4.88500000 -63.41770000   5.82263502
  4.91000000   4.91000000 -63.49170000   5.82658530
  4.93500000   4.93500000 -63.56520000   5.83052287
  4.96000000   4.96000000 -63.63820000   5.83444647
  4.98500000   4.98500000 -63.71070000   5.83835482
