#E_tot          E_tot-Eth    Phase(s)
  3.27028000   3.27028000 -57.95790000
  3.32028000   3.32028000 -60.07130000
  3.37028000   3.37028000 -62.23840000
  3.42028000   3.42028000 -64.44700000
  3.47028000   3.47028000 -66.68600000
  3.52028000   3.52028000 -68.94770000
  3.57028000   3.57028000 -71.22480000
  3.62028000   3.62028000 -73.51610000
  3.67028000   3.67028000  14.21920000
  3.72028000   3.72028000  11.92330000
  3.77028000   3.77028000   9.63810000
  3.82028000   3.82028000   7.36180000
  3.87028000   3.87028000   5.09520000
  3.92028000   3.92028000   2.84190000
  3.97028000   3.97028000   0.60470000
  4.02028000   4.02028000  -1.61610000
  4.07028000   4.07028000  -3.81820000
  4.12028000   4.12028000  -5.99970000
  4.17028000   4.17028000  -8.15860000
  4.22028000   4.22028000 -10.29410000
  4.27028000   4.27028000 -12.40460000
  4.32028000   4.32028000 -14.48740000
  4.37028000   4.37028000 -16.54210000
  4.42028000   4.42028000 -18.56700000
  4.47028000   4.47028000 -20.55910000
  4.52028000   4.52028000 -22.51830000
  4.57028000   4.57028000 -24.44400000
  4.62028000   4.62028000 -26.33010000
  4.67028000   4.67028000 -28.17900000
  4.72028000   4.72028000 -29.98500000
  4.77028000   4.77028000 -31.74730000
  4.82028000   4.82028000 -33.46390000
  4.87028000   4.87028000 -35.13010000
  4.92028000   4.92028000 -36.74370000
  4.97028000   4.97028000 -38.30130000
  5.02028000   5.02028000 -39.79880000
  5.07028000   5.07028000 -41.23170000
  5.12028000   5.12028000 -42.59580000
  5.17028000   5.17028000 -43.88580000
  5.22028000   5.22028000 -45.09510000
  5.27028000   5.27028000 -46.21870000
  5.32028000   5.32028000 -47.24860000
  5.37028000   5.37028000 -48.17610000
  5.42028000   5.42028000 -48.99040000
  5.47028000   5.47028000 -49.67060000
  5.52028000   5.52028000 -50.12730000
  5.57028000   5.57028000 -51.31340000
  5.62028000   5.62028000 -51.19520000
  5.67028000   5.67028000 -51.19580000
  5.72028000   5.72028000 -50.77750000
  5.77028000   5.77028000 -47.55140000
  5.82028000   5.82028000 -55.28620000
  5.87028000   5.87028000 -53.08660000
  5.92028000   5.92028000 -52.33920000
  5.97028000   5.97028000 -51.75590000
  6.02028000   6.02028000 -51.17050000
  6.07028000   6.07028000 -50.52540000
  6.12028000   6.12028000 -49.76420000
  6.17028000   6.17028000 -48.77260000
  6.22028000   6.22028000 -47.23850000
  6.27028000   6.27028000 -43.97340000
  6.32028000   6.32028000  61.30000000
  6.37028000   6.37028000 -66.22550000
  6.42028000   6.42028000 -57.21670000
  6.47028000   6.47028000 -54.67320000
  6.52028000   6.52028000 -53.34870000
  6.57028000   6.57028000 -52.32840000
  6.62028000   6.62028000 -51.20670000
  6.67028000   6.67028000 -49.56300000
  6.72028000   6.72028000 -46.57990000
  6.77028000   6.77028000  49.70290000
  6.82028000   6.82028000  64.83820000
  6.87028000   6.87028000  87.37490000
  6.92028000   6.92028000 -80.24720000
  6.97028000   6.97028000 -75.28940000
  7.02028000   7.02028000 -73.19560000
  7.07028000   7.07028000 -72.36010000
  7.12028000   7.12028000 -72.17420000
  7.17028000   7.17028000 -72.36440000
  7.22028000   7.22028000 -72.78840000
  7.27028000   7.27028000 -73.36040000
  7.32028000   7.32028000 -74.01900000
  7.37028000   7.37028000 -74.69960000
  7.42028000   7.42028000 -75.29530000
  7.47028000   7.47028000 -75.45320000
  7.52028000   7.52028000  18.53900000
  7.57028000   7.57028000 -84.06880000
  7.62028000   7.62028000 -82.40120000
  7.67028000   7.67028000 -82.87620000
  7.72028000   7.72028000 -83.73610000
  7.77028000   7.77028000 -84.74020000
  7.82028000   7.82028000 -85.81600000
  7.87028000   7.87028000   3.05400000
  7.92028000   7.92028000   1.90300000
  7.97028000   7.97028000   0.72960000
  8.02028000   8.02028000  -0.45940000
  8.07028000   8.07028000  -1.65990000
  8.12028000   8.12028000  -2.86890000
  8.17028000   8.17028000  -4.08470000
  8.22028000   8.22028000  -5.30480000
  8.27028000   8.27028000  -6.52810000
  8.32028000   8.32028000  -7.75330000
  8.37028000   8.37028000  -8.97910000
  8.42028000   8.42028000 -10.20470000
  8.47028000   8.47028000 -11.42930000
  8.52028000   8.52028000 -12.65190000
  8.57028000   8.57028000 -13.87200000
  8.62028000   8.62028000 -15.08860000
  8.67028000   8.67028000 -16.30130000
  8.72028000   8.72028000 -17.50920000
  8.77028000   8.77028000 -18.71200000
  8.82028000   8.82028000 -19.90880000
